,admin id,time,category,sub category,amount,related unit,div,description
27,27,1397-01-08,Ghabz,bargh,-92,"['id10', 'id9', 'id4', 'id1', 'id2']",,
45,45,1397-01-08,Ghabz,gaz,-309,"['id10', 'id4']",,
0,0,1397-01-12,Ghabz,Water,-266,"['id4', 'id3', 'id5', 'id10', 'id1', 'id8', 'id9']",,
126,126,1397-01-18,tamirat,###,-155,"['id7', 'id3', 'id8', 'id6', 'id9', 'id2', 'id10', 'id5', 'id4', 'id1']",,
1,1,1397-02-14,Ghabz,Water,-283,"['id1', 'id7', 'id2', 'id4', 'id6', 'id8', 'id9', 'id5']",,
71,71,1397-02-15,nezafat,###,-241,"['id1', 'id2', 'id10', 'id6', 'id4', 'id3', 'id5']",,
46,46,1397-02-23,Ghabz,gaz,-518,"['id9', 'id10', 'id1', 'id3', 'id5', 'id6', 'id2', 'id7', 'id8']",,
28,28,1397-02-28,Ghabz,bargh,-80,"['id6', 'id3', 'id1', 'id8', 'id10', 'id9']",,
67,67,1397-03-03,Ghabz,avarez,-2579,"['id1', 'id2', 'id8', 'id9', 'id6', 'id10', 'id4', 'id3', 'id5', 'id7']",,
139,139,1397-03-07,other,###,-121,"['id9', 'id7', 'id5', 'id4', 'id2', 'id8', 'id1', 'id3', 'id6', 'id10']",,
72,72,1397-03-07,nezafat,###,-244,"['id7', 'id1', 'id10', 'id5', 'id8', 'id2', 'id4', 'id6', 'id9']",,
119,119,1397-03-12,asansor,###,-2283,"['id7', 'id1', 'id2', 'id3', 'id5', 'id4', 'id6', 'id10', 'id8', 'id9']",,
2,2,1397-03-14,Ghabz,Water,-230,"['id5', 'id6', 'id3', 'id1']",,
73,73,1397-03-17,nezafat,###,-239,"['id1', 'id8', 'id5', 'id2', 'id10', 'id4', 'id3']",,
127,127,1397-03-26,tamirat,###,-158,"['id4', 'id3', 'id5', 'id2', 'id1', 'id7', 'id10', 'id9', 'id6', 'id8']",,
47,47,1397-03-29,Ghabz,gaz,-562,"['id2', 'id10', 'id1', 'id7']",,
74,74,1397-03-30,nezafat,###,-233,"['id10', 'id8', 'id4', 'id3', 'id1', 'id7', 'id6', 'id9']",,
29,29,1397-04-08,Ghabz,bargh,-124,"['id7', 'id1', 'id6', 'id9']",,
3,3,1397-04-09,Ghabz,Water,-211,"['id9', 'id2', 'id7', 'id1', 'id6', 'id10', 'id5']",,
75,75,1397-04-15,nezafat,###,-254,"['id10', 'id2', 'id3', 'id7', 'id8']",,
140,140,1397-04-28,other,###,-133,"['id1', 'id10', 'id7', 'id2']",,
76,76,1397-05-01,nezafat,###,-252,"['id7', 'id3', 'id8']",,
48,48,1397-05-07,Ghabz,gaz,-302,"['id6', 'id8', 'id4', 'id2', 'id7', 'id9', 'id5', 'id3']",,
4,4,1397-05-11,Ghabz,Water,-193,"['id3', 'id5', 'id4', 'id9', 'id2', 'id1', 'id10', 'id7']",,
128,128,1397-05-12,tamirat,###,-157,"['id2', 'id1', 'id5', 'id10', 'id4', 'id7', 'id9', 'id6', 'id3', 'id8']",,
77,77,1397-05-19,nezafat,###,-229,"['id4', 'id8', 'id7', 'id5', 'id6', 'id1', 'id9']",,
30,30,1397-05-24,Ghabz,bargh,-111,"['id4', 'id1', 'id10']",,
78,78,1397-06-06,nezafat,###,-257,"['id2', 'id3', 'id4', 'id6', 'id1', 'id8', 'id9', 'id7', 'id5', 'id10']",,
5,5,1397-06-11,Ghabz,Water,-188,"['id2', 'id6', 'id9', 'id1', 'id3', 'id5', 'id10', 'id7', 'id4', 'id8']",,
123,123,1397-06-15,parking,###,-147,"['id9', 'id4', 'id1', 'id10', 'id8', 'id2', 'id3', 'id7', 'id5', 'id6']",,
49,49,1397-06-17,Ghabz,gaz,-435,"['id7', 'id4', 'id1', 'id2', 'id9']",,
79,79,1397-06-20,nezafat,###,-254,"['id4', 'id3', 'id1', 'id7', 'id2', 'id8']",,
80,80,1397-06-26,nezafat,###,-230,"['id2', 'id9', 'id3', 'id8', 'id1']",,
141,141,1397-06-27,other,###,-151,"['id2', 'id4', 'id5', 'id7']",,
31,31,1397-07-08,Ghabz,bargh,-108,"['id4', 'id3', 'id5', 'id10', 'id7', 'id8', 'id2', 'id9']",,
6,6,1397-07-08,Ghabz,Water,-250,"['id6', 'id2', 'id5', 'id8', 'id10']",,
129,129,1397-07-17,tamirat,###,-247,"['id10', 'id5', 'id7', 'id8', 'id6', 'id4', 'id1', 'id3', 'id2', 'id9']",,
81,81,1397-07-17,nezafat,###,-248,"['id3', 'id5', 'id7', 'id1', 'id10']",,
50,50,1397-07-22,Ghabz,gaz,-480,"['id8', 'id4', 'id9', 'id3', 'id1', 'id6', 'id5']",,
82,82,1397-07-27,nezafat,###,-245,"['id4', 'id10', 'id9', 'id8', 'id2']",,
7,7,1397-08-07,Ghabz,Water,-275,"['id7', 'id10', 'id9', 'id3']",,
120,120,1397-08-07,asansor,###,-462,"['id9', 'id8', 'id3', 'id1', 'id10', 'id7', 'id5', 'id2', 'id4', 'id6']",,
83,83,1397-08-19,nezafat,###,-244,['id4'],,
32,32,1397-08-23,Ghabz,bargh,-116,"['id9', 'id4', 'id7', 'id6', 'id8', 'id2', 'id3', 'id1', 'id5']",,
84,84,1397-08-27,nezafat,###,-263,"['id8', 'id1', 'id3', 'id10', 'id4', 'id9', 'id7', 'id2']",,
8,8,1397-09-07,Ghabz,Water,-321,"['id8', 'id1', 'id10', 'id3', 'id6', 'id9', 'id2']",,
51,51,1397-09-07,Ghabz,gaz,-441,"['id1', 'id5', 'id8', 'id9']",,
85,85,1397-09-14,nezafat,###,-269,"['id2', 'id8', 'id3', 'id1', 'id9', 'id5', 'id6', 'id7', 'id4', 'id10']",,
68,68,1397-09-17,Ghabz,avarez,-2608,"['id9', 'id1', 'id10', 'id7', 'id8', 'id4', 'id6', 'id5']",,
130,130,1397-09-20,tamirat,###,-195,"['id8', 'id1', 'id9', 'id2', 'id6', 'id4', 'id10', 'id3', 'id7', 'id5']",,
33,33,1397-10-02,Ghabz,bargh,-115,"['id4', 'id3', 'id8', 'id5', 'id2', 'id6', 'id10', 'id7']",,
142,142,1397-10-03,other,###,-145,"['id8', 'id2', 'id7', 'id5', 'id6', 'id3']",,
86,86,1397-10-04,nezafat,###,-252,"['id6', 'id1', 'id2', 'id3', 'id9']",,
